FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Bill Algeo,145 lbs.,36.46849315068493,182.88,185.42000000000002,Switch,5.88,0.51,1.03,0.5,0.1,4.38,0.47,0.55
Royce Alger,199 lbs.,60.74520547945205,177.8,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Aliakbari,250 lbs.,41.46849315068493,190.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sultan Aliev,170 lbs.,41.1972602739726,180.34,187.96,Orthodox,1.41,0.45,1.76,0.38,0.0,2.2,0.56,1.0
Nurullo Aliev,155 lbs.,24.96164383561644,177.8,182.88,Orthodox,2.43,0.45,2.6,0.54,0.0,1.07,0.58,0.0
Ikram Aliskerov,185 lbs.,32.96986301369863,182.88,193.04,Southpaw,6.86,0.64,3.2,0.6,0.5,5.47,0.41,1.0
Leon Aliu,185 lbs.,36.37260273972603,182.88,187.96,Orthodox,6.32,0.5,0.0,0.0,0.0,10.11,0.38,0.0
John Allan,205 lbs.,32.75890410958904,185.42000000000002,190.5,Orthodox,3.56,0.42,1.4,0.71,0.8,5.74,0.52,0.5
George Allen,205 lbs.,58.88767123287671,187.96,,Open Stance,0.8,0.38,0.0,0.0,0.0,3.1,0.43,0.5
Arnold Allen,145 lbs.,31.843835616438355,172.72,177.8,Southpaw,3.45,0.41,0.93,0.47,0.3,2.88,0.61,0.75
Brendan Allen,185 lbs.,29.912328767123288,187.96,190.5,Orthodox,3.59,0.53,1.56,0.42,1.1,3.62,0.47,0.56
Daniel Allen,155 lbs.,33.295890410958904,182.88,190.5,Southpaw,7.6,0.51,2.0,0.66,0.0,5.87,0.53,1.0
Ben Alloway,170 lbs.,44.775342465753425,180.34,193.04,Orthodox,1.28,0.49,0.62,0.5,0.0,1.9,0.59,0.26
Asu Almabayev,125 lbs.,31.835616438356166,162.56,165.1,Orthodox,2.16,0.54,4.66,0.43,1.5,1.75,0.52,0.5
Bekzat Almakhan,135 lbs.,28.13150684931507,170.18,172.72,Orthodox,0.68,0.4,0.0,0.0,0.0,4.29,0.32,0.0
John Dave Almanza,125 lbs.,21.673972602739727,170.18,170.18,Southpaw,1.92,0.41,0.0,0.0,0.0,5.75,0.27,0.0
Ricardo Almeida,170 lbs.,49.0027397260274,182.88,187.96,Orthodox,2.02,0.49,3.74,0.38,1.2,1.2,0.61,0.31
Magno Almeida,155 lbs.,40.47945205479452,182.88,,,1.67,0.36,0.0,0.0,5.0,2.6,0.41,0.4
Thomas Almeida,145 lbs.,34.326027397260276,170.18,177.8,Southpaw,4.84,0.43,0.17,0.14,0.0,4.93,0.61,0.75
Ericka Almeida,115 lbs.,36.73150684931507,167.64000000000001,,Orthodox,1.07,0.39,0.5,0.33,0.0,3.33,0.43,0.37
Estefani Almeida,125 lbs.,37.11232876712329,162.56,,Orthodox,3.13,0.37,0.0,0.0,0.0,6.07,0.42,0.0
Jailton Almeida,237 lbs.,34.42191780821918,190.5,200.66,Orthodox,2.25,0.66,6.66,0.62,2.0,1.02,0.35,0.6
Lucas Almeida,145 lbs.,34.821917808219176,180.34,180.34,Orthodox,4.94,0.39,0.0,0.0,0.0,5.36,0.44,0.53
Cesar Almeida,185 lbs.,37.66849315068493,185.42000000000002,187.96,Orthodox,4.16,0.58,0.0,0.0,0.3,2.32,0.48,0.6
Mauricio Alonso,170 lbs.,45.75616438356165,187.96,,,5.74,0.34,0.0,0.0,0.0,1.91,0.67,0.0
Sarah Alpar,135 lbs.,34.49041095890411,162.56,160.02,Southpaw,2.36,0.44,1.61,0.26,0.4,6.06,0.38,0.2
Ali AlQaisi,135 lbs.,35.178082191780824,167.64000000000001,172.72,Orthodox,2.43,0.42,3.5,0.29,1.0,1.97,0.56,0.6
Rico Altamirano,170 lbs.,,177.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Altamirano,125 lbs.,34.843835616438355,172.72,177.8,Switch,4.58,0.53,2.88,0.38,0.0,3.82,0.53,0.63
Mike Altman,185 lbs.,,177.8,,Orthodox,1.56,0.2,0.0,0.0,0.0,2.08,0.75,0.0
Patricia Alujas,115 lbs.,29.55068493150685,162.56,162.56,Orthodox,5.83,0.31,0.0,0.0,0.0,9.25,0.44,0.0
Sean Alvarez,235 lbs.,54.38630136986301,182.88,,Orthodox,0.89,0.37,0.0,0.0,0.0,3.25,0.47,0.0
Eddie Alvarez,155 lbs.,41.88219178082192,175.26,175.26,Orthodox,4.32,0.41,2.92,0.36,0.5,4.39,0.55,0.92
Jaime Alvarez,125 lbs.,37.723287671232875,172.72,175.26,Orthodox,2.73,0.4,1.0,0.33,0.0,4.53,0.56,0.5
Joel Alvarez,155 lbs.,32.73698630136986,190.5,195.58,Orthodox,4.78,0.55,0.19,0.33,1.1,3.07,0.54,0.47
