EVENT,BOUT,WEIGHTCLASS,METHOD,ROUND,TIME,DETAILS,WINNER,LOSER,TOTAL ROUNDS,AGE.DIFF.WINNER,REACH.DIFF.WINNER,HEIGHT.DIFF.WINNER
UFC 242: Khabib vs. Poirier ,Nordine Taleb  vs. Muslim Salikhov ,Welterweight Bout,KO/TKO,1,4:26,Punch to Head At Distance ,Muslim Salikhov,Nordine Taleb,3.0,-3.0,-10.159999999999997,-5.079999999999984
UFC 242: Khabib vs. Poirier ,Omari Akhmedov  vs. Zak Cummings ,Middleweight Bout,Decision,3,5:00,Howie Booth 27 - 30.Pawel Harasim 28 - 29.Maria Makhmutova 28 - 29.,Omari Akhmedov,Zak Cummings,3.0,-3.19452054794521,-5.0800000000000125,0.0
UFC 242: Khabib vs. Poirier ,Don Madge  vs. Fares Ziam ,Lightweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Mark Collett 27 - 30.David Lethaby 28 - 29.,Don Madge,Fares Ziam,3.0,6.358904109589041,-7.6200000000000045,-2.539999999999992
UFC Fight Night: Andrade vs. Zhang ,Jessica Andrade  vs. Zhang Weili ,UFC Women's Strawweight Title Bout,KO/TKO,1,0:42,Punch to Head At Distance ,Zhang Weili,Jessica Andrade,5.0,2.1178082191780803,2.5400000000000205,7.6200000000000045
UFC Fight Night: Andrade vs. Zhang ,Li Jingliang  vs. Elizeu Zaleski dos Santos ,Welterweight Bout,KO/TKO,3,4:51,Punches to Head At Distance ,Li Jingliang,Elizeu Zaleski dos Santos,3.0,-1.2739726027397182,-5.079999999999984,2.539999999999992
UFC Fight Night: Andrade vs. Zhang ,Kai Kara-France  vs. Mark De La Rosa ,Flyweight Bout,Decision,3,5:00,Anthony Dimitriou 27 - 30.Garth Harriman 28 - 29.Albert Shen 27 - 30.,Kai Kara-France,Mark De La Rosa,3.0,1.4328767123287705,10.159999999999997,-5.079999999999984
UFC Fight Night: Andrade vs. Zhang ,Song Kenan  vs. Derrick Krantz ,Welterweight Bout,Decision,3,5:00,Anthony Dimitriou 28 - 29.Evan Field 28 - 29.Howard Hughes 28 - 29.,Song Kenan,Derrick Krantz,3.0,-2.156164383561631,-2.539999999999992,5.079999999999984
UFC Fight Night: Andrade vs. Zhang ,Wu Yanan  vs.  Mizuki ,Women's Flyweight Bout,Decision,3,5:00,Barry Foley 28 - 29.Garth Harriman 28 - 29.Albert Shen 29 - 28.,Mizuki,Wu Yanan,3.0,1.665753424657531,-2.539999999999992,-12.699999999999989
UFC Fight Night: Andrade vs. Zhang ,JunYong Park  vs. Anthony Hernandez ,Middleweight Bout,Submission,2,4:39,Anaconda Choke On Ground ,Anthony Hernandez,JunYong Park,3.0,-2.641095890410959,5.0800000000000125,5.079999999999984
UFC Fight Night: Andrade vs. Zhang , Sumudaerji  vs. Andre Soukhamthath ,Bantamweight Bout,Decision,3,5:00,Anthony Dimitriou 26 - 30.Evan Field 25 - 30.Albert Shen 26 - 30.,Sumudaerji,Andre Soukhamthath,3.0,-7.246575342465757,5.079999999999984,-2.539999999999992
UFC Fight Night: Andrade vs. Zhang ,Da Woon Jung  vs. Khadis Ibragimov ,Light Heavyweight Bout,Submission,3,1:59,Guillotine Choke Standing ,Da Woon Jung,Khadis Ibragimov,3.0,1.4520547945205493,0.0,2.539999999999992
UFC Fight Night: Andrade vs. Zhang ,Damir Ismagulov  vs. Thiago Moises ,Lightweight Bout,Decision,3,5:00,Anthony Dimitriou 26 - 30.Garth Harriman 27 - 30.Albert Shen 27 - 30.,Damir Ismagulov,Thiago Moises,3.0,4.134246575342466,10.159999999999997,2.5400000000000205
UFC Fight Night: Andrade vs. Zhang , Alatengheili  vs. Batgerel Danaa ,Bantamweight Bout,Decision,3,5:00,Mark Craig 27 - 29.Evan Field 27 - 29.Barry Foley 27 - 29.,Alatengheili,Batgerel Danaa,3.0,-2.4465753424657564,-10.160000000000025,-5.0800000000000125
UFC Fight Night: Andrade vs. Zhang ,Karol Rosa  vs. Lara Procopio ,Women's Bantamweight Bout,Decision,3,5:00,Garth Harriman 28 - 29.Howard Hughes 27 - 30.Albert Shen 29 - 28.,Karol Rosa,Lara Procopio,3.0,0.8739726027397268,0.0,2.539999999999992
UFC 241: Cormier vs. Miocic 2 ,Daniel Cormier  vs. Stipe Miocic ,UFC Heavyweight Title Bout,KO/TKO,4,4:09,Punches to Head At Distance ,Stipe Miocic,Daniel Cormier,5.0,-3.4191780821917774,20.319999999999993,12.699999999999989
UFC 241: Cormier vs. Miocic 2 ,Anthony Pettis  vs. Nate Diaz ,Welterweight Bout,Decision,3,5:00,Ron McCarthy 27 - 30.Derek Cleary 27 - 30.Guilherme Bravo 28 - 29.,Nate Diaz,Anthony Pettis,3.0,1.7835616438356254,10.159999999999997,5.079999999999984
UFC 241: Cormier vs. Miocic 2 ,Yoel Romero  vs. Paulo Costa ,Middleweight Bout,Decision,3,5:00,Mike Bell 28 - 29.Ron McCarthy 28 - 29.Guilherme Bravo 28 - 29.,Paulo Costa,Yoel Romero,3.0,-13.983561643835614,-2.539999999999992,2.539999999999992
UFC 241: Cormier vs. Miocic 2 ,Gabriel Benitez  vs. Sodiq Yusuff ,Featherweight Bout,KO/TKO,1,4:14,Punch to Head At Distance ,Sodiq Yusuff,Gabriel Benitez,3.0,-4.92876712328767,0.0,2.539999999999992
UFC 241: Cormier vs. Miocic 2 ,Derek Brunson  vs. Ian Heinisch ,Middleweight Bout,Decision,3,5:00,Mike Bell 28 - 29.Derek Cleary 28 - 29.Guilherme Bravo 28 - 29.,Derek Brunson,Ian Heinisch,3.0,4.5890410958904155,12.700000000000017,5.079999999999984
UFC 241: Cormier vs. Miocic 2 ,Devonte Smith  vs. Khama Worthy ,Lightweight Bout,KO/TKO,1,4:15,Punch to Head At Distance ,Khama Worthy,Devonte Smith,3.0,6.794520547945204,-5.079999999999984,5.0800000000000125
UFC 241: Cormier vs. Miocic 2 ,Raphael Assuncao  vs. Cory Sandhagen ,Bantamweight Bout,Decision,3,5:00,Mike Bell 27 - 30.Ron McCarthy 27 - 30.Luis Cobian 28 - 29.,Cory Sandhagen,Raphael Assuncao,3.0,-9.76164383561644,10.160000000000025,15.240000000000009
UFC 241: Cormier vs. Miocic 2 ,Christos Giagos  vs. Drakkar Klose ,Lightweight Bout,Decision,3,5:00,Ron McCarthy 28 - 29.Luis Cobian 28 - 29.Guilherme Bravo 28 - 29.,Drakkar Klose,Christos Giagos,3.0,1.8767123287671197,-2.539999999999992,-2.5400000000000205
UFC 241: Cormier vs. Miocic 2 ,Manny Bermudez  vs. Casey Kenney ,Catch Weight Bout,Decision,3,5:00,Ron McCarthy 28 - 29.Derek Cleary 28 - 29.Guilherme Bravo 28 - 29.,Casey Kenney,Manny Bermudez,3.0,3.326027397260276,-7.6200000000000045,-7.6200000000000045
UFC 241: Cormier vs. Miocic 2 ,Hannah Cifers  vs. Jodie Esquibel ,Women's Strawweight Bout,Decision,3,5:00,Mike Bell 28 - 29.Luis Cobian 27 - 30.Guilherme Bravo 27 - 30.,Hannah Cifers,Jodie Esquibel,3.0,-6.142465753424659,-5.0800000000000125,0.0
UFC 241: Cormier vs. Miocic 2 ,Kyung Ho Kang  vs. Brandon Davis ,Bantamweight Bout,Decision,3,5:00,Luis Cobian 29 - 28.Derek Cleary 28 - 29.Ron McCarthy 28 - 29.,Kyung Ho Kang,Brandon Davis,3.0,2.663013698630131,2.539999999999992,-2.5400000000000205
UFC 241: Cormier vs. Miocic 2 ,Sabina Mazo  vs. Shana Dobson ,Women's Flyweight Bout,Decision,3,5:00,Luis Cobian 24 - 30.Ron McCarthy 25 - 30.Mike Bell 25 - 30.,Sabina Mazo,Shana Dobson,3.0,-7.991780821917807,2.5400000000000205,2.5400000000000205
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Valentina Shevchenko  vs. Liz Carmouche ,UFC Women's Flyweight Title Bout,Decision,5,5:00,Guilherme Bravo 45 - 50.Eric Colon 45 - 50.Tony Weeks 45 - 50.,Valentina Shevchenko,Liz Carmouche,5.0,-4.049315068493151,0.0,-2.539999999999992
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Vicente Luque  vs. Mike Perry ,Welterweight Bout,Decision,3,5:00,Guilherme Bravo 29 - 28.Eric Colon 28 - 29.Joseph Terrell 28 - 29.,Vicente Luque,Mike Perry,3.0,-0.19999999999999574,10.159999999999997,2.539999999999992
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Eduardo Garagorri  vs. Humberto Bandenay ,Featherweight Bout,Decision,3,5:00,Tony Weeks 27 - 30.Phillipe Iorio 27 - 30.Joseph Terrell 27 - 30.,Eduardo Garagorri,Humberto Bandenay,3.0,5.273972602739722,-2.539999999999992,-5.0800000000000125
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Volkan Oezdemir  vs. Ilir Latifi ,Light Heavyweight Bout,KO/TKO,2,4:31,Punch to Head At Distance ,Volkan Oezdemir,Ilir Latifi,3.0,-7.150684931506845,5.0800000000000125,10.159999999999997
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Rodolfo Vieira  vs. Oskar Piechota ,Middleweight Bout,Submission,2,4:26,Arm Triangle From Side Control ,Rodolfo Vieira,Oskar Piechota,3.0,0.331506849315069,-7.6200000000000045,0.0
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Enrique Barzola  vs. Bobby Moffett ,Featherweight Bout,Decision,3,5:00,Eric Colon 29 - 28.Phillipe Iorio 27 - 30.Joseph Terrell 28 - 29.,Enrique Barzola,Bobby Moffett,3.0,1.0931506849315085,-7.619999999999976,-7.6200000000000045
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Gilbert Burns  vs. Aleksei Kunchenko ,Welterweight Bout,Decision,3,5:00,Guilherme Bravo 28 - 29.Phillipe Iorio 28 - 29.Eric Colon 28 - 29.,Gilbert Burns,Aleksei Kunchenko,3.0,-2.2164383561643817,2.539999999999992,5.0800000000000125
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Ciryl Gane  vs. Raphael Pessoa ,Heavyweight Bout,Submission,1,4:12,Arm Triangle From Side Control ,Ciryl Gane,Raphael Pessoa,3.0,-1.0931506849315085,7.6200000000000045,2.539999999999992
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Tecia Pennington  vs. Marina Rodriguez ,Women's Strawweight Bout,Decision,3,5:00,Joseph Terrell 27 - 30.Eric Colon 27 - 30.Guilherme Bravo 26 - 30.,Marina Rodriguez,Tecia Pennington,3.0,2.301369863013697,12.699999999999989,12.699999999999989
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Rogerio Bontorin  vs. Raulian Paiva ,Flyweight Bout,KO/TKO,1,2:56,,Rogerio Bontorin,Raulian Paiva,3.0,3.4794520547945247,-5.079999999999984,-7.6200000000000045
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Geraldo de Freitas  vs. Chris Gutierrez ,Bantamweight Bout,Decision,3,5:00,Tony Weeks 28 - 29.Joseph Terrell 30 - 27.Phillipe Iorio 28 - 29.,Chris Gutierrez,Geraldo de Freitas,3.0,0.4410958904109563,-12.699999999999989,5.079999999999984
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Kazula Vargas  vs. Alex Da Silva ,Lightweight Bout,Decision,3,5:00,Guilherme Bravo 27 - 30.Fabio Alves 27 - 30.Eric Colon 27 - 30.,Alex Da Silva,Kazula Vargas,3.0,-10.479452054794528,5.079999999999984,0.0
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Veronica Hardy  vs. Polyana Viana ,Women's Flyweight Bout,Submission,1,1:09,Armbar On Ground ,Veronica Hardy,Polyana Viana,3.0,-3.3780821917808197,-7.6200000000000045,-2.539999999999992
UFC Fight Night: Covington vs. Lawler ,Colby Covington  vs. Robbie Lawler ,Welterweight Bout,Decision,5,5:00,Eric Colon 44 - 50.Dave Tirelli 45 - 50.Dominic Carolei 45 - 50.,Colby Covington,Robbie Lawler,5.0,-5.93150684931507,-5.0800000000000125,0.0
UFC Fight Night: Covington vs. Lawler ,Jim Miller  vs. Clay Guida ,Lightweight Bout,Submission,1,0:58,Guillotine Choke After Drop to Guard ,Jim Miller,Clay Guida,3.0,-1.7260273972602747,2.539999999999992,2.539999999999992
UFC Fight Night: Covington vs. Lawler ,Joaquim Silva  vs. Nasrat Haqparast ,Lightweight Bout,KO/TKO,2,0:36,Punch to Head At Distance ,Nasrat Haqparast,Joaquim Silva,3.0,-6.545205479452065,7.6200000000000045,5.0800000000000125
UFC Fight Night: Covington vs. Lawler ,Trevin Giles  vs. Gerald Meerschaert ,Middleweight Bout,Submission,3,1:49,Guillotine Choke On Ground ,Gerald Meerschaert,Trevin Giles,3.0,4.638356164383559,7.6200000000000045,2.539999999999992
UFC Fight Night: Covington vs. Lawler ,Scott Holtzman  vs. Dong Hyun Ma ,Lightweight Bout,KO/TKO,2,5:00,,Scott Holtzman,Dong Hyun Ma,3.0,4.947945205479456,-2.5400000000000205,-5.0800000000000125
UFC Fight Night: Covington vs. Lawler ,Darko Stosic  vs. Kennedy Nzechukwu ,Light Heavyweight Bout,Decision,3,5:00,Cardo Urso 26 - 29.Munah Holland 26 - 29.Jon Bilyk 27 - 28.,Kennedy Nzechukwu,Darko Stosic,3.0,-0.3424657534246549,17.78,12.700000000000017
UFC Fight Night: Covington vs. Lawler ,Mickey Gall  vs. Salim Touahri ,Welterweight Bout,Decision,3,5:00,Eric Colon 28 - 29.Dave Tirelli 28 - 29.Cardo Urso 28 - 29.,Mickey Gall,Salim Touahri,3.0,-2.31780821917809,5.0800000000000125,10.159999999999997
UFC Fight Night: Covington vs. Lawler ,Antonina Shevchenko  vs. Lucie Pudilova ,Women's Flyweight Bout,Submission,2,1:20,Rear Naked Choke ,Antonina Shevchenko,Lucie Pudilova,3.0,9.56712328767123,0.0,0.0
UFC Fight Night: Covington vs. Lawler ,Jordan Espinosa  vs. Matt Schnell ,Flyweight Bout,Submission,1,1:23,Triangle Choke From Bottom Guard ,Matt Schnell,Jordan Espinosa,3.0,-0.18630136986300982,2.5400000000000205,5.0800000000000125
UFC Fight Night: Covington vs. Lawler ,Lauren Murphy  vs. Mara Romero Borella ,Women's Flyweight Bout,KO/TKO,3,1:46,Knee to Head In Clinch ,Lauren Murphy,Mara Romero Borella,3.0,2.854794520547948,-5.079999999999984,-2.539999999999992
UFC Fight Night: Covington vs. Lawler ,Claudio Silva  vs. Cole Williams ,Welterweight Bout,Submission,1,2:35,Neck Crank From Back Control ,Claudio Silva,Cole Williams,3.0,1.2739726027397253,-5.079999999999984,-2.539999999999992
UFC Fight Night: Covington vs. Lawler ,Miranda Granger  vs. Hannah Goldy ,Women's Flyweight Bout,Decision,3,5:00,Jon Bilyk 27 - 30.Dominic Carolei 27 - 30.Munah Holland 27 - 30.,Miranda Granger,Hannah Goldy,3.0,0.09589041095890138,17.78,7.6200000000000045
UFC 240: Holloway vs. Edgar ,Max Holloway  vs. Frankie Edgar ,UFC Featherweight Title Bout,Decision,5,5:00,Chris Lee 45 - 50.Dave Hagen 46 - 49.Tony Weeks 47 - 48.,Max Holloway,Frankie Edgar,5.0,-10.13972602739726,2.539999999999992,12.700000000000017
UFC 240: Holloway vs. Edgar ,Cristiane Justino  vs. Felicia Spencer ,Women's Featherweight Bout,Decision,3,5:00,Kevin Dornan 27 - 30.Brian Puccillo 27 - 30.Thomas Collins 27 - 30.,Cristiane Justino,Felicia Spencer,3.0,5.394520547945206,0.0,5.0800000000000125
UFC 240: Holloway vs. Edgar ,Geoff Neal  vs. Niko Price ,Welterweight Bout,KO/TKO,2,2:39,Punches to Head From Guard ,Geoff Neal,Niko Price,3.0,-0.9123287671232916,-2.539999999999992,-2.539999999999992
UFC 240: Holloway vs. Edgar ,Olivier Aubin-Mercier  vs. Arman Tsarukyan ,Lightweight Bout,Decision,3,5:00,Thomas Collins 28 - 29.Chris Lee 28 - 29.Brian Puccillo 28 - 29.,Arman Tsarukyan,Olivier Aubin-Mercier,3.0,-7.63561643835617,5.079999999999984,-5.079999999999984
UFC 240: Holloway vs. Edgar ,Marc-Andre Barriault  vs. Krzysztof Jotko ,Middleweight Bout,Decision,3,5:00,Dave Hagen 28 - 29.Derek Cleary 28 - 29.Kevin Dornan 29 - 28.,Krzysztof Jotko,Marc-Andre Barriault,3.0,0.5013698630137,7.6200000000000045,0.0
UFC 240: Holloway vs. Edgar ,Alexis Davis  vs. Viviane Araujo ,Women's Flyweight Bout,Decision,3,5:00,Brian Puccillo 28 - 29.Chris Lee 28 - 29.Thomas Collins 28 - 29.,Viviane Araujo,Alexis Davis,3.0,-2.131506849315066,0.0,-5.079999999999984
UFC 240: Holloway vs. Edgar ,Hakeem Dawodu  vs. Yoshinori Horie ,Featherweight Bout,KO/TKO,3,4:09,Kick to Head At Distance ,Hakeem Dawodu,Yoshinori Horie,3.0,3.857534246575355,7.619999999999976,0.0
UFC 240: Holloway vs. Edgar ,Gavin Tucker  vs. SeungWoo Choi ,Featherweight Bout,Submission,3,3:17,Rear Naked Choke ,Gavin Tucker,SeungWoo Choi,3.0,6.38630136986302,-20.32000000000002,-15.240000000000009
UFC 240: Holloway vs. Edgar ,Alexandre Pantoja  vs. Deiveson Figueiredo ,Flyweight Bout,Decision,3,5:00,Tony Weeks 27 - 30.Brian Puccillo 27 - 30.Derek Cleary 27 - 30.,Deiveson Figueiredo,Alexandre Pantoja,3.0,2.328767123287669,2.539999999999992,0.0
UFC 240: Holloway vs. Edgar ,Gillian Robertson  vs. Sarah Frota ,Women's Flyweight Bout,KO/TKO,2,4:13,Elbows to Head From Mount ,Gillian Robertson,Sarah Frota,3.0,-8.095890410958901,-15.23999999999998,-2.539999999999992
UFC 240: Holloway vs. Edgar ,Erik Koch  vs. Kyle Stewart ,Welterweight Bout,Decision,3,5:00,Brian Puccillo 27 - 30.Thomas Collins 28 - 29.Derek Cleary 28 - 29.,Erik Koch,Kyle Stewart,3.0,0.3260273972602761,-12.699999999999989,-5.079999999999984
UFC Fight Night: Dos Anjos vs. Edwards ,Rafael Dos Anjos  vs. Leon Edwards ,Welterweight Bout,Decision,5,5:00,Gino Garcia 45 - 50.Perry Hillin 46 - 49.Marcos Rosales 46 - 49.,Leon Edwards,Rafael Dos Anjos,5.0,-6.832876712328769,10.159999999999997,15.240000000000009
UFC Fight Night: Dos Anjos vs. Edwards ,Aleksei Oleinik  vs. Walt Harris ,Heavyweight Bout,KO/TKO,1,0:12,Punch to Head At Distance ,Walt Harris,Aleksei Oleinik,3.0,-5.975342465753421,-7.619999999999976,7.6200000000000045
UFC Fight Night: Dos Anjos vs. Edwards ,Greg Hardy  vs. Juan Adams ,Heavyweight Bout,KO/TKO,1,0:45,Punches to Head On Ground ,Greg Hardy,Juan Adams,3.0,3.471232876712328,0.0,0.0
UFC Fight Night: Dos Anjos vs. Edwards ,James Vick  vs. Dan Hooker ,Lightweight Bout,KO/TKO,1,2:33,Punch to Head At Distance ,Dan Hooker,James Vick,3.0,-2.975342465753421,-2.539999999999992,-7.6200000000000045
UFC Fight Night: Dos Anjos vs. Edwards ,Alexander Hernandez  vs. Francisco Trinaldo ,Lightweight Bout,Decision,3,5:00,Marcos Rosales 27 - 30.Ruben Carrion 27 - 30.Gino Garcia 28 - 29.,Alexander Hernandez,Francisco Trinaldo,3.0,-14.11506849315068,5.079999999999984,0.0
UFC Fight Night: Dos Anjos vs. Edwards ,Andrei Arlovski  vs. Ben Rothwell ,Heavyweight Bout,Decision,3,5:00,Jennie Cardenas 27 - 30.Perry Hillin 27 - 30.Ruben Carrion 27 - 30.,Andrei Arlovski,Ben Rothwell,3.0,2.7013698630136957,-2.539999999999992,-2.539999999999992
UFC Fight Night: Dos Anjos vs. Edwards ,Alex Caceres  vs. Steven Peterson ,Featherweight Bout,Decision,3,5:00,Jennie Cardenas 27 - 30.Ruben Carrion 28 - 29.Gino Garcia 28 - 29.,Alex Caceres,Steven Peterson,3.0,1.9397260273972563,7.619999999999976,0.0
UFC Fight Night: Dos Anjos vs. Edwards ,Raquel Pennington  vs. Irene Aldana ,Women's Bantamweight Bout,Decision,3,5:00,Ruben Carrion 29 - 28.Perry Hillin 28 - 29.Marcos Rosales 28 - 29.,Raquel Pennington,Irene Aldana,3.0,-0.44657534246575636,-2.539999999999992,-5.079999999999984
UFC Fight Night: Dos Anjos vs. Edwards ,Sam Alvey  vs. Klidson Abreu ,Light Heavyweight Bout,Decision,3,5:00,Jennie Cardenas 27 - 30.Ruben Carrion 27 - 30.Perry Hillin 28 - 29.,Klidson Abreu,Sam Alvey,3.0,-6.641095890410959,-2.539999999999992,-5.0800000000000125
UFC Fight Night: Dos Anjos vs. Edwards ,Roxanne Modafferi  vs. Jennifer Maia ,Women's Flyweight Bout,Decision,3,5:00,Jennie Cardenas 27 - 30.Ruben Carrion 27 - 30.Gino Garcia 27 - 30.,Jennifer Maia,Roxanne Modafferi,3.0,-6.038356164383565,-12.699999999999989,-7.6200000000000045
UFC Fight Night: Dos Anjos vs. Edwards ,Ray Borg  vs. Gabriel Silva ,Bantamweight Bout,Decision,3,5:00,Marcos Rosales 28 - 29.Perry Hillin 28 - 29.Ruben Carrion 28 - 29.,Ray Borg,Gabriel Silva,3.0,1.0602739726027366,-20.319999999999993,-5.079999999999984
UFC Fight Night: Dos Anjos vs. Edwards ,Mario Bautista  vs. Jin Soo Son ,Bantamweight Bout,Decision,3,5:00,Jennie Cardenas 27 - 30.Perry Hillin 27 - 30.Gino Garcia 28 - 29.,Mario Bautista,Jin Soo Son,3.0,-0.24931506849314644,0.0,7.6200000000000045
UFC Fight Night: Dos Anjos vs. Edwards ,Domingo Pilarte  vs. Felipe Colares ,Bantamweight Bout,Decision,3,5:00,Marcelo Vilhena 28 - 29.Jennie Cardenas 29 - 28.Gino Garcia 28 - 29.,Felipe Colares,Domingo Pilarte,3.0,-4.235616438356168,-10.159999999999997,-10.159999999999997
UFC Fight Night: De Randamie vs. Ladd ,Germaine de Randamie  vs. Aspen Ladd ,Women's Bantamweight Bout,KO/TKO,1,0:16,Punch to Head At Distance ,Germaine de Randamie,Aspen Ladd,5.0,10.85753424657534,12.700000000000017,7.6200000000000045
UFC Fight Night: De Randamie vs. Ladd ,Urijah Faber  vs. Ricky Simon ,Bantamweight Bout,KO/TKO,1,0:46,Punch to Head At Distance ,Urijah Faber,Ricky Simon,3.0,13.30958904109589,-5.079999999999984,0.0
UFC Fight Night: De Randamie vs. Ladd ,Josh Emmett  vs. Mirsad Bektic ,Featherweight Bout,KO/TKO,1,4:25,Punches to Head On Ground ,Josh Emmett,Mirsad Bektic,3.0,5.958904109589049,0.0,-5.0800000000000125
UFC Fight Night: De Randamie vs. Ladd ,Karl Roberson  vs. Wellington Turman ,Middleweight Bout,Decision,3,5:00,Derek Cleary 29 - 28.Wade Vierra 28 - 29.Mike Bell 28 - 29.,Karl Roberson,Wellington Turman,3.0,5.802739726027401,5.0800000000000125,2.539999999999992
UFC Fight Night: De Randamie vs. Ladd ,Marvin Vettori  vs. Cezar Ferreira ,Middleweight Bout,Decision,3,5:00,Mike Bell 27 - 30.Ron McCarthy 27 - 30.Derek Cleary 27 - 30.,Marvin Vettori,Cezar Ferreira,3.0,-8.600000000000001,-10.159999999999997,-2.539999999999992
UFC Fight Night: De Randamie vs. Ladd ,Mike Rodriguez  vs. John Allan ,Light Heavyweight Bout,NC,3,5:00,Failed Drug Test by AllanWade Vierra 28 - 29.Marcos Rosales 28 - 29.Ron McCarthy 27 - 30.,,,3.0,,,
UFC Fight Night: De Randamie vs. Ladd ,Andre Fili  vs. Sheymon Moraes ,Featherweight Bout,KO/TKO,1,3:07,Punch to Head At Distance ,Andre Fili,Sheymon Moraes,3.0,0.2958904109589042,5.0800000000000125,7.6200000000000045
UFC Fight Night: De Randamie vs. Ladd ,Julianna Pena  vs. Nicco Montano ,Women's Bantamweight Bout,Decision,3,5:00,Mike Bell 28 - 29.Derek Cleary 28 - 29.Ron McCarthy 27 - 29.,Julianna Pena,Nicco Montano,3.0,-0.6739726027397168,10.159999999999997,2.539999999999992
UFC Fight Night: De Randamie vs. Ladd ,Darren Elkins  vs. Ryan Hall ,Featherweight Bout,Decision,3,5:00,Wade Vierra 28 - 29.Marcos Rosales 28 - 29.Ron McCarthy 27 - 30.,Ryan Hall,Darren Elkins,3.0,-0.7726027397260253,-2.539999999999992,0.0
UFC Fight Night: De Randamie vs. Ladd ,Pingyuan Liu  vs. Jonathan Martinez ,Bantamweight Bout,KO/TKO,3,3:54,Knee to Head At Distance ,Jonathan Martinez,Pingyuan Liu,3.0,-1.1808219178082169,-5.079999999999984,5.0800000000000125
UFC Fight Night: De Randamie vs. Ladd ,Livinha Souza  vs. Brianna Fortino ,Women's Strawweight Bout,Decision,3,5:00,Wade Vierra 27 - 30.Marcos Rosales 27 - 30.Mike Bell 27 - 30.,Brianna Fortino,Livinha Souza,3.0,-2.4027397260273986,-2.5400000000000205,-7.6200000000000045
UFC Fight Night: De Randamie vs. Ladd ,Benito Lopez  vs. Vince Morales ,Bantamweight Bout,Decision,3,5:00,Wade Vierra 28 - 29.Marcos Rosales 28 - 29.Blake Grice 28 - 29.,Benito Lopez,Vince Morales,3.0,-3.400000000000002,7.619999999999976,7.6200000000000045
UFC 239: Jones vs. Santos ,Jon Jones  vs. Thiago Santos ,UFC Light Heavyweight Title Bout,Decision,5,5:00,Mike Bell 47 - 48.Junichiro Kamijo 48 - 47.Derek Cleary 47 - 48.,Jon Jones,Thiago Santos,5.0,-3.531506849315072,20.32000000000002,5.079999999999984
UFC 239: Jones vs. Santos ,Amanda Nunes  vs. Holly Holm ,UFC Women's Bantamweight Title Bout,KO/TKO,1,4:10,Kick to Head At Distance ,Amanda Nunes,Holly Holm,5.0,-6.621917808219173,0.0,0.0
UFC 239: Jones vs. Santos ,Jorge Masvidal  vs. Ben Askren ,Welterweight Bout,KO/TKO,1,0:05,Flying Knee Head ,Jorge Masvidal,Ben Askren,3.0,-0.320547945205476,2.5400000000000205,0.0
UFC 239: Jones vs. Santos ,Jan Blachowicz  vs. Luke Rockhold ,Light Heavyweight Bout,KO/TKO,2,1:39,Punch to Head At Distance ,Jan Blachowicz,Luke Rockhold,3.0,1.646575342465752,2.539999999999992,-2.539999999999992
UFC 239: Jones vs. Santos ,Diego Sanchez  vs. Michael Chiesa ,Welterweight Bout,Decision,3,5:00,Derek Cleary 26 - 30.Patricia Morse-Jarman 26 - 30.Junichiro Kamijo 26 - 30.,Michael Chiesa,Diego Sanchez,3.0,-5.936986301369863,7.6200000000000045,7.619999999999976
UFC 239: Jones vs. Santos ,Gilbert Melendez  vs. Arnold Allen ,Featherweight Bout,Decision,3,5:00,Mike Bell 27 - 30.Sal D'amato 27 - 30.Ron McCarthy 27 - 30.,Arnold Allen,Gilbert Melendez,3.0,-11.789041095890411,-7.619999999999976,-2.539999999999992
UFC 239: Jones vs. Santos ,Marlon Vera  vs. Nohelin Hernandez ,Bantamweight Bout,Submission,2,3:25,Rear Naked Choke ,Marlon Vera,Nohelin Hernandez,3.0,1.2438356164383535,-2.539999999999992,-5.0800000000000125
UFC 239: Jones vs. Santos ,Claudia Gadelha  vs. Randa Markos ,Women's Strawweight Bout,Decision,3,5:00,Mike Bell 27 - 30.Derek Cleary 27 - 30.Ron McCarthy 27 - 30.,Claudia Gadelha,Randa Markos,3.0,-3.328767123287669,0.0,0.0
UFC 239: Jones vs. Santos ,Alejandro Perez  vs. Song Yadong ,Bantamweight Bout,KO/TKO,1,2:04,Punch to Head At Distance ,Song Yadong,Alejandro Perez,3.0,-8.254794520547943,0.0,5.0800000000000125
