FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Josh Clopton,65.77083999999999,44.446575342465756,167.64000000000001,,Orthodox,1.6,0.64,2.0,0.66,0.0,2.87,0.5,0.75
Brian Cobb,70.30676,45.298630136986304,180.34,,Orthodox,0.0,0.0,5.81,0.5,0.0,3.68,0.55,0.0
Darryl Cobb,83.91452,45.38082191780822,175.26,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dave Cochran,70.30676,52.62191780821918,167.64000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dakota Cochrane,70.30676,39.63835616438356,172.72,,,2.66,0.75,4.43,0.33,0.0,2.66,0.3,0.0
Marloes Coenen,65.77083999999999,44.726027397260275,175.26,170.18,,2.15,0.51,0.82,0.3,2.5,1.9,0.67,0.41
Marc Cofer,83.91452,53.80821917808219,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Cofer,70.30676,41.64383561643836,175.26,,Southpaw,2.73,0.41,1.22,0.5,0.0,3.43,0.62,0.64
Chris Coggins,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Colares,65.77083999999999,31.71780821917808,172.72,175.26,Orthodox,2.17,0.45,1.88,0.24,0.5,4.65,0.36,0.43
Wayne Cole,92.98636,54.964383561643835,185.42000000000002,,Orthodox,0.57,0.2,4.31,0.25,4.3,8.33,0.27,0.0
Devin Cole,108.86207999999999,49.224657534246575,193.04,,Orthodox,3.5,0.55,2.18,0.42,0.0,2.14,0.48,0.66
Coltin Cole,83.91452,36.654794520547945,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Cole,61.23492,35.05205479452055,175.26,,,2.68,0.36,0.0,0.0,0.0,4.69,0.46,0.0
Chandler Cole,119.748288,30.93972602739726,177.8,182.88,Orthodox,2.45,0.6,0.0,0.0,0.0,3.59,0.26,0.0
Mark Coleman,92.98636,61.013698630136986,185.42000000000002,190.5,Orthodox,1.88,0.52,3.89,0.4,0.8,2.62,0.4,0.5
Cortez Coleman,83.91452,43.895890410958906,185.42000000000002,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay Collard,65.77083999999999,32.775342465753425,180.34,185.42000000000002,Orthodox,4.22,0.32,2.81,0.39,0.5,5.0,0.5,0.71
Jamie Colleen,52.16308,40.131506849315066,160.02,165.1,Orthodox,3.11,0.61,0.52,0.33,1.6,5.66,0.33,0.5
Jake Collier,104.32616,37.15068493150685,190.5,198.12,Orthodox,5.8,0.44,0.71,0.33,0.6,5.08,0.5,0.67
Christian Colombo,120.20188,45.47397260273973,195.58,,Orthodox,2.76,0.44,0.0,0.0,0.0,4.02,0.42,0.33
Willian Colorado,61.23492,39.4986301369863,177.8,182.88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Combs,92.98636,52.515068493150686,187.96,,Orthodox,2.14,0.48,0.0,0.0,0.0,4.73,0.45,0.0
Rose Conceicao,52.16308,28.5972602739726,139.7,165.1,Orthodox,3.07,0.28,0.0,0.0,0.0,6.73,0.6,0.0
Roque Conceicao,56.699,26.13972602739726,162.56,170.18,Orthodox,2.73,0.4,0.0,0.0,0.0,9.09,0.41,0.0
Carlos Condit,77.11064,41.652054794520545,187.96,190.5,Orthodox,3.66,0.39,0.59,0.46,1.0,2.67,0.55,0.38
Chris Condo,151.95332,,182.88,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Congdon,77.11064,28.575342465753426,187.96,190.5,Switch,5.29,0.35,0.0,0.0,0.0,9.71,0.21,1.0
Tristan Connelly,65.77083999999999,40.02191780821918,177.8,172.72,Orthodox,3.31,0.51,0.33,0.14,0.3,2.96,0.5,0.6
Marcos Conrado Jr.,99.79024,43.772602739726025,187.96,,Orthodox,1.6,0.34,1.84,0.14,0.0,9.69,0.35,0.0
Jeremiah Constant,108.86207999999999,51.43013698630137,185.42000000000002,,Orthodox,1.5,0.75,0.0,0.0,7.5,3.25,0.43,0.0
Jonathan Contrestano,70.30676,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Cook,77.11064,,175.26,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Cook,92.98636,44.205479452054796,185.42000000000002,,Orthodox,1.72,0.49,1.03,0.33,2.1,2.4,0.46,0.55
Chad Cook,92.98636,46.12328767123287,187.96,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJ Cook,92.98636,43.28493150684932,,,,2.3,0.47,1.01,0.5,0.0,3.18,0.54,0.0
Dewey Cooper,92.98636,51.11780821917808,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Cooper,77.11064,38.46849315068493,182.88,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Cooper,70.30676,41.62739726027397,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Cooper,70.30676,,185.42000000000002,,,2.87,0.25,0.0,0.0,1.0,3.4,0.59,0.4
Amanda Cooper,52.16308,34.15890410958904,160.02,162.56,Switch,3.55,0.44,1.53,0.38,1.8,3.2,0.51,0.28
Kit Cope,77.11064,48.76712328767123,182.88,,Orthodox,1.18,0.52,0.0,0.0,3.5,2.12,0.35,0.5
Chris Cope,77.11064,42.797260273972604,182.88,182.88,Orthodox,3.96,0.26,0.0,0.0,0.0,4.82,0.5,0.8
Josh Copeland,120.20188,43.16986301369863,185.42000000000002,,Orthodox,1.03,0.31,0.0,0.0,0.0,3.01,0.55,0.57
Michael Cora,77.11064,36.320547945205476,185.42000000000002,195.58,Southpaw,0.8,0.28,0.0,0.0,0.0,0.13,0.66,0.25
Akira Corassani,65.77083999999999,43.31780821917808,172.72,172.72,Orthodox,3.25,0.45,0.7,0.28,0.0,4.91,0.5,0.86
Muhsin Corbbrey,70.30676,47.5972602739726,177.8,,Orthodox,2.02,0.34,0.0,0.0,0.4,5.41,0.53,0.8
Alden Coria,56.699,27.649315068493152,172.72,170.18,Orthodox,3.89,0.44,2.78,1.0,0.0,1.11,0.78,0.75
