event,bout,outcome,weightclass,method,round_end,round_end_time,time_format,referee,details,url,date,round_total,fighter1,fighter2,win_streak1,win_streak2,win_streak_delta,dob1,reach1,height1,dob2,reach2,height2,age1,age2,age_delta,reach_delta,height_delta
UFC 268: Usman vs. Covington 2,CJ Vergara  vs. Ode Osbourne ,Fighter2,Flyweight,Decision,3.0,5.0,3 Rnd (5-5-5),Mike Beltran,Dave Tirelli 28 - 29.Derek Cleary 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/8081cb92f71401c6,2021-11-06,3.0,CJ Vergara,Ode Osbourne,0.0,0.0,0.0,1991-06-18,172.72,167.64,1992-01-09,185.42,170.18,30.38740588637919,29.82614647501711,0.5612594113620801,-12.699999999999989,-2.5400000000000205
UFC 267: Blachowicz vs. Teixeira,Jan Blachowicz  vs. Glover Teixeira ,Fighter2,Light Heavyweight,Submission,2.0,3.03,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/919fb76d2f3e5827,2021-10-30,5.0,Jan Blachowicz,Glover Teixeira,5.0,5.0,0.0,1983-02-24,198.12,187.96,1979-10-28,193.04,187.96,38.680355920602324,42.00684462696783,-3.3264887063655095,5.0800000000000125,0.0
UFC 267: Blachowicz vs. Teixeira,Petr Yan  vs. Cory Sandhagen ,Fighter1,Bantamweight,Decision,5.0,5.0,5 Rnd (5-5-5-5-5),Jason Herzog,David Lethaby 46 - 49.Anders Ohlsson 46 - 49.Vito Paolillo 46 - 49.,http://ufcstats.com/fight-details/18edff5447989b3f,2021-10-30,5.0,Petr Yan,Cory Sandhagen,0.0,0.0,0.0,1993-02-11,170.18,170.18,1992-04-20,177.8,180.34,28.71457905544148,29.527720739219713,-0.8131416837782339,-7.6200000000000045,-10.159999999999997
UFC 267: Blachowicz vs. Teixeira,Islam Makhachev  vs. Dan Hooker ,Fighter1,Lightweight,Submission,1.0,2.42,3 Rnd (5-5-5),Daniel Movahedi,Kimura From Side Control ,http://ufcstats.com/fight-details/5ad4c0eae7512878,2021-10-30,3.0,Islam Makhachev,Dan Hooker,5.0,1.0,4.0,1991-10-27,177.8,177.8,1990-02-13,190.5,182.88,30.00958247775496,31.709787816564,-1.7002053388090381,-12.699999999999989,-5.079999999999984
UFC 267: Blachowicz vs. Teixeira,Alexander Volkov  vs. Marcin Tybura ,Fighter1,Heavyweight,Decision,3.0,5.0,3 Rnd (5-5-5),Marc Goddard,Vito Paolillo 27 - 30.Darryl Ransom 27 - 30.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/13e3e41e0c6f4e04,2021-10-30,3.0,Alexander Volkov,Marcin Tybura,0.0,5.0,-5.0,1988-10-24,203.2,200.66,1985-11-09,198.12,190.5,33.01574264202601,35.97262149212868,-2.956878850102669,5.079999999999984,10.159999999999997
UFC 267: Blachowicz vs. Teixeira,Li Jingliang  vs. Khamzat Chimaev ,Fighter2,Welterweight,Submission,1.0,3.27,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/987cdcbc809e210d,2021-10-30,3.0,Li Jingliang,Khamzat Chimaev,1.0,3.0,-2.0,1988-03-20,180.34,182.88,1994-05-01,190.5,187.96,33.61259411362081,27.498973305954827,6.113620807665981,-10.159999999999997,-5.0800000000000125
UFC 267: Blachowicz vs. Teixeira,Magomed Ankalaev  vs. Volkan Oezdemir ,Fighter1,Light Heavyweight,Decision,3.0,5.0,3 Rnd (5-5-5),Marc Goddard,Darryl Ransom 27 - 30.Clemens Werner 27 - 30.Ben Cartlidge 28 - 29.,http://ufcstats.com/fight-details/58b19ba734fe93a3,2021-10-30,3.0,Magomed Ankalaev,Volkan Oezdemir,5.0,0.0,5.0,1992-06-02,190.5,190.5,1989-09-19,190.5,187.96,29.409993155373034,32.11225188227242,-2.702258726899384,0.0,2.539999999999992
UFC 267: Blachowicz vs. Teixeira,Ricardo Ramos  vs. Zubaira Tukhugov ,Fighter2,Featherweight,Decision,3.0,5.0,3 Rnd (5-5-5),Marc Goddard,David Lethaby 28 - 29.Vito Paolillo 28 - 29.Darryl Ransom 28 - 29.,http://ufcstats.com/fight-details/41cdfea7df63003f,2021-10-30,3.0,Ricardo Ramos,Zubaira Tukhugov,1.0,0.0,1.0,1995-08-01,182.88,175.26,1991-01-15,172.72,172.72,26.247775496235455,30.78986995208761,-4.542094455852155,10.159999999999997,2.539999999999992
UFC 267: Blachowicz vs. Teixeira,Albert Duraev  vs. Roman Kopylov ,Fighter1,Middleweight,Decision,3.0,5.0,3 Rnd (5-5-5),Jason Herzog,Vito Paolillo 27 - 30.Ben Cartlidge 27 - 29.Clemens Werner 27 - 29.,http://ufcstats.com/fight-details/768c86e307295944,2021-10-30,3.0,Albert Duraev,Roman Kopylov,0.0,0.0,0.0,1989-01-05,190.5,180.34,1991-05-04,190.5,182.88,32.81587953456537,30.491444216290212,2.3244353182751567,0.0,-2.539999999999992
UFC 267: Blachowicz vs. Teixeira,Elizeu Zaleski dos Santos  vs. Benoit Saint Denis ,Fighter1,Welterweight,Decision,3.0,5.0,3 Rnd (5-5-5),VyacheslavKiselev,David Lethaby 26 - 29.Anders Ohlsson 26 - 29.Clemens Werner 26 - 29.,http://ufcstats.com/fight-details/efc6af0151f72b87,2021-10-30,3.0,Elizeu Zaleski dos Santos,Benoit Saint Denis,0.0,0.0,0.0,1986-12-11,185.42,180.34,1995-12-18,185.42,180.34,34.88569472963724,25.867214236824093,9.018480492813143,0.0,0.0
