date,event,bout,fighter,opponent,round,round_time,sig_str_land,sig_str_att,sig_str_acc_%,sig_str_land_opp,sig_str_att_opp,sig_str_def_%,total_str_land,total_str_att,total_str_acc_%,kd,td_land,td_att,td_acc_%,td_land_opp,td_att_opp,td_def_%,sub_att,sub_att_opp,rev,ctrl,distance_ss_pct,clinch_ss_pct,ground_ss_pct,head_ss_pct,body_ss_pct,leg_ss_pct
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Alexander Volkanovski vs. Diego Lopes,Alexander Volkanovski,Diego Lopes,5,800.0,3136,5120,0.6125,2128.0,5632.0,0.6221590909090908,3584,5696,0.6292134831460674,0.0,64,224,0.2857142857142857,32.0,80.0,0.6,32.0,0.0,0.0,0:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:270:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:002:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:222:22,0.8979591836734694,0.030612244897959183,0.07142857142857142,0.7346938775510204,0.030612244897959183,0.23469387755102042
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Alexander Volkanovski vs. Diego Lopes,Diego Lopes,Alexander Volkanovski,5,800.0,2240,5056,0.4430379746835443,4096.0,6704.0,0.3890214797136038,2368,5184,0.4567901234567901,0.0,64,160,0.4,48.0,288.0,0.8333333333333334,0.0,16.0,0.0,0:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:390:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:000:001:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:111:11,0.9428571428571428,0.04285714285714286,0.014285714285714285,0.4714285714285714,0.24285714285714285,0.2857142857142857
2026-01-24,UFC 324: Gaethje vs. Pimblett,Waldo Cortes Acosta vs. Derrick Lewis,Derrick Lewis,Waldo Cortes Acosta,2,8.23,8,43,0.18604651162790697,44.0,62.0,0.29032258064516125,8,43,0.18604651162790697,0.0,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0:000:00,1.0,0.0,0.0,0.75,0.25,0.0
2026-01-24,UFC 324: Gaethje vs. Pimblett,Waldo Cortes Acosta vs. Derrick Lewis,Waldo Cortes Acosta,Derrick Lewis,2,8.23,44,62,0.7096774193548387,8.0,43.0,0.813953488372093,46,64,0.71875,1.0,1,1,1.0,0.0,0.0,,0.0,0.0,0.0,0:160:12,0.6136363636363636,0.022727272727272728,0.36363636363636365,0.7954545454545454,0.11363636363636363,0.09090909090909091
2026-01-24,UFC 324: Gaethje vs. Pimblett,Umar Nurmagomedov vs. Deiveson Figueiredo,Deiveson Figueiredo,Umar Nurmagomedov,3,15.0,8,27,0.2962962962962963,34.0,72.0,0.5277777777777778,28,58,0.4827586206896552,0.0,0,0,,2.0,6.0,0.6666666666666667,0.0,0.0,0.0,0:000:090:00,0.875,0.125,0.0,0.5,0.5,0.0
2026-01-24,UFC 324: Gaethje vs. Pimblett,Umar Nurmagomedov vs. Deiveson Figueiredo,Umar Nurmagomedov,Deiveson Figueiredo,3,15.0,34,72,0.4722222222222222,8.0,27.0,0.7037037037037037,103,167,0.6167664670658682,0.0,2,6,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,1:340:113:05,0.8235294117647058,0.058823529411764705,0.11764705882352941,0.5588235294117647,0.3235294117647059,0.11764705882352941
2026-01-24,UFC 324: Gaethje vs. Pimblett,Sean O'Malley vs. Song Yadong,Sean O'Malley,Song Yadong,3,15.0,48,92,0.5217391304347826,36.0,94.0,0.6170212765957447,67,111,0.6036036036036037,0.0,0,0,,3.0,7.0,0.5714285714285714,0.0,0.0,0.0,0:000:000:00,1.0,0.0,0.0,0.4791666666666667,0.3333333333333333,0.1875
2026-01-24,UFC 324: Gaethje vs. Pimblett,Sean O'Malley vs. Song Yadong,Song Yadong,Sean O'Malley,3,15.0,36,94,0.3829787234042553,48.0,92.0,0.4782608695652174,69,130,0.5307692307692308,0.0,3,7,0.42857142857142855,0.0,0.0,,0.0,0.0,0.0,0:381:280:00,1.0,0.0,0.0,0.4166666666666667,0.05555555555555555,0.5277777777777778
2026-01-24,UFC 324: Gaethje vs. Pimblett,Nikita Krylov vs. Modestas Bukauskas,Modestas Bukauskas,Nikita Krylov,3,14.95,40,108,0.37037037037037035,72.0,137.0,0.4744525547445255,43,111,0.38738738738738737,0.0,0,0,,1.0,4.0,0.75,0.0,0.0,0.0,0:000:560:00,1.0,0.0,0.0,0.875,0.05,0.075
2026-01-24,UFC 324: Gaethje vs. Pimblett,Nikita Krylov vs. Modestas Bukauskas,Nikita Krylov,Modestas Bukauskas,3,14.95,72,137,0.5255474452554745,40.0,108.0,0.6296296296296297,94,164,0.573170731707317,1.0,1,4,0.25,0.0,0.0,,0.0,0.0,0.0,1:580:360:03,0.8888888888888888,0.06944444444444445,0.041666666666666664,0.3472222222222222,0.3055555555555556,0.3472222222222222
